Plateau-Brecher Admin-Logs,,,,,,,17.05.2026 00:29:40
Übersicht,Personal,Public,Gesamt,Hinweis,,,Stand
Logs gesamt,5,2,7,Alle Einträge ohne Header,,,
Heute neu,0,0,0,Einträge mit Zeitstempel von heute,,,
Offen,2,1,3,Muss noch geprüft werden,,,
Geprüft,1,0,1,"Angesehen, aber nicht zwingend behoben",,,
Behoben,0,0,0,Fix umgesetzt,,,
Ignorieren/Test,2,1,3,Testeinträge oder nicht relevant,,,
Letzter Personal-Log,14.05 21:32,,,Letzter Zeitstempel in Personal_Logs,,,
Letzter Public-Log,,10.05 19:04,,Letzter Zeitstempel in Public_Logs,,,
,,,,,,,
Status-Legende,Bedeutung,Wann setzen?,,,,,
offen,Fehler muss noch geprüft werden,Automatisch oder manuell bei neuen echten Fehlern,,,,,
geprüft,Fehler wurde angesehen,"Ursache bekannt, aber nicht unbedingt gefixt",,,,,
behoben,Fix wurde umgesetzt,Nach Claude/Codex-Fix und kurzem Test,,,,,
ignorieren,Test/alter irrelevanter Eintrag,"DIREKTTEST, PERSONAL TEST, alte Dopplungen",,,,,
,,,,,,,
Log-Struktur für Claude,Spalte,Pflicht?,Hinweis,,,,
Zeitstempel,A,ja,"vom Apps Script setzen, nicht vom Client erzwingen",,,,
App-Version / Env / Typ,B-D,ja,"Typ z.B. JS_ERROR, ASYNC_ERROR, FETCH_ERROR, SAVE_ERROR, LOAD_ERROR, TEST",,,,
Fehlermeldung / Detail / URL,E-G,ja,Detail und URL helfen bei echter Fehlersuche,,,,
Gerät / OS / Stacktrace / HTTP Status,H-J,wenn vorhanden,"Stacktrace kürzen, sensible Daten entfernen",,,,
Status / Notiz / Fix-Version,K-M,manuell,"Status standardmäßig offen, Notiz/Fix-Version später",,,,
,,,,,,,
Alte Arbeitsnotiz,Apps Script und beide HTMLs auf diese Spaltenstruktur anpassen.,Prüfen,Nicht gelöscht; vor Änderungen an Script/HTML erneut verifizieren.,,,,
,,,,,,,
Fehler-Schnellhilfe,,,,,,,
Fehler / Typ,Wahrscheinliche Ursache,Schnelle Lösung,Status,,,,
FETCH_ERROR / Failed to fetch,"API-/Web-App-URL falsch, altes Deployment, keine Berechtigung, Netzwerk/CORS","Deployment-URL prüfen, Zugriff auf 'Jeder' setzen, neu deployen, URL in HTML/App-Speicher aktualisieren",geprüft,,,,
SAVE_ERROR,Speichern schlägt beim Apps Script oder Sheet-Zugriff fehl,"Apps-Script-Logs prüfen, Sheet-Namen/Tabnamen prüfen, Payload und Pflichtfelder validieren",Vorlage,,,,
LOAD_ERROR,App bekommt Daten nicht oder in falschem Format zurück,"API-Antwort prüfen, JSON-Struktur mit HTML-Erwartung vergleichen, leere Tabs abfangen",Vorlage,,,,
JS_ERROR,Frontend-Fehler in der HTML/JS-App,"Stacktrace lesen, betroffene Funktion suchen, mit Testdaten reproduzieren",Vorlage,,,,
ASYNC_ERROR,Promise/async Funktion wirft Fehler ohne sauberes catch,"try/catch ergänzen, await-Aufrufe prüfen, Fehler zusätzlich ins Adminlog schreiben",Vorlage,,,,
Verschobene Spalten,Apps Script schreibt noch alte 6-Spalten-Struktur ins neue 13-Spalten-Log,"Apps Script appendRow exakt auf neue Header anpassen: A-M, fehlende Felder leer lassen, Status standardmäßig offen",wichtig für Claude,,,,
Keine neuen Logs sichtbar,Adminlog-URL nicht angebunden oder Logging wird nur lokal/ins falsche Sheet geschickt,"ADMIN_URL fest in beide HTMLs setzen, Public -> Public_Logs, Personal -> Personal_Logs",wichtig für Claude,,,,
Testeinträge,Manuelle Checks wie DIREKTTEST oder PERSONAL TEST,"Status auf ignorieren setzen, nicht als echten Bug zählen",Routine,,,,
,,,,,,,
Regel,In den Log-Tabs bleibt die konkrete Fehlernotiz pro Eintrag. Im Dashboard stehen nur Standardlösungen und wiederkehrende Muster.,,,,,,
,,,,,,,
Qualitätschecks,Personal,Public,Gesamt,Hinweis,,,
P0/P1 offen,0,0,0,Kritische offene Einträge nach Priorität,,,
Offen ohne Priorität,2,1,3,"Offene Einträge, die noch P0-P3 brauchen",,,
Behoben ohne Fix-Version,0,0,0,Behobene Einträge ohne Version in Spalte M,,,
Behoben ohne Teststatus,0,0,0,Behobene Einträge ohne Teststatus in Spalte S,,,
